,lat,lng
01067,51.05754959999999,13.7170648
01069,51.0391349,13.7376748
01097,51.0659081,13.7361525
01099,51.0871884,13.8028038
01108,51.1443239,13.7997057
01109,51.1173979,13.7283149
01127,51.0779366,13.7224379
01129,51.0943744,13.7205411
01139,51.0747119,13.6846314
01156,51.085544,13.6276849
01157,51.06341339999999,13.6678312
01159,51.041241,13.6977528
01169,51.04405389999999,13.6665997
01187,51.0266014,13.7090684
01189,51.0144934,13.6972162
01217,51.0144606,13.7439601
01219,51.024895,13.7678094
01237,51.0134206,13.7913392
01239,50.9957514,13.7886884
01257,50.9980905,13.813979
01259,51.0009506,13.8564276
01277,51.0374106,13.7964562
01279,51.0229541,13.8339001
01307,51.0566797,13.7688263
01309,51.0491316,13.7874211
01324,51.0618662,13.8547719
01326,51.0541268,13.8144233
01328,51.0334817,13.8952564
01445,51.1115439,13.6433181
01454,51.13721530000001,13.9178698
01458,51.1751105,13.8246035
01465,51.1260965,13.8417809
01468,51.16768399999999,13.6637681
01471,51.2011969,13.7403313
01477,51.0946097,13.9891512
01558,51.2884296,13.5441928
01561,51.2834635,13.6765407
01587,51.3037968,13.2670518
01589,51.2975568,13.3095039
01591,51.31704939999999,13.2520646
01594,51.2606788,13.2323241
01609,51.3890612,13.4140191
01612,51.2991786,13.3900947
01616,51.3639725,13.2150623
01619,51.356403,13.3251086
01623,51.2021198,13.2783877
01640,51.131589,13.5638128
01662,51.1632952,13.475152
01665,51.0954089,13.4641847
01683,51.0799296,13.3231137
01689,51.1810234,13.5509434
01705,51.0002571,13.6401737
01723,51.0502972,13.5362057
01728,50.9902277,13.7244064
01731,50.94428689999999,13.7586934
01734,50.9492918,13.6668556
01737,50.9700656,13.5362012
01738,50.9308286,13.5539209
01744,50.87331469999999,13.6365623
01762,50.8302784,13.5570383
01768,50.85093089999999,13.7803191
01773,50.7766262,13.7364624
01774,50.87291039999999,13.526344
01776,50.7645382,13.6259982
01778,50.7569262,13.7923125
01796,50.9397088,13.9671509
01809,50.9533266,13.8547751
01814,50.8882817,14.1998701
01816,50.8484584,13.9407149
01819,50.8744768,13.9492958
01824,50.87198679999999,14.0425613
01825,50.8618191,13.8521893
01829,50.95783729999999,14.024747
01833,51.0488464,14.0790883
01844,51.035552,14.2260006
01847,50.9891752,13.9963251
01848,50.9889401,14.1559133
01855,50.9730657,14.2730156
01877,51.1344289,14.2020056
01896,51.1905921,14.0051025
01900,51.14654669999999,14.0245274
01904,51.09696959999999,14.3066911
01906,51.1757343,14.1795979
01909,51.10808160000001,14.1052967
01917,51.2841235,14.1133767
01920,51.2406659,14.0328293
01936,51.2656667,13.9043743
01945,51.4566131,13.8642648
01968,51.5050323,13.9693262
01979,51.5004514,13.7399363
01983,51.5879761,14.0109679
01987,51.4808978,13.858585
01990,51.3779309,13.7575979
01993,51.5168382,13.8977333
01994,51.5611052,13.8965781
01996,51.4550595,14.0256589
01998,51.5410754,13.8921507
02625,51.1815867,14.4230008
02627,51.1485841,14.5695538
02633,51.17798390000001,14.3204467
02681,51.0972443,14.3935792
02689,51.0445876,14.4271742
02692,51.1222369,14.4406271
02694,51.2663909,14.5133415
02699,51.31058969999999,14.3291074
02708,51.0773984,14.6555802
02727,50.9773042,14.6094086
02730,51.0052452,14.5943678
02733,51.0983612,14.5208403
02736,51.0565822,14.5050339
02739,50.9878413,14.6508516
02742,51.0381065,14.5276538
02747,51.0275548,14.7542719
02748,51.04724,14.8270791
02763,50.9241386,14.7701227
02779,50.8952121,14.6639858
02782,50.9352975,14.6073938
02785,50.8736132,14.7691694
02788,50.9436061,14.8847899
02791,50.9564824,14.7224231
02794,50.9549285,14.651938
02796,50.8540463,14.6947258
02797,50.8412532,14.7423869
02799,50.8689884,14.6497109
02826,51.14819749999999,14.975409
02827,51.1123561,14.9634276
02828,51.1614467,14.9740736
02829,51.1468545,14.8852208
02894,51.140597,14.7985276
02899,51.01567120000001,14.9313425
02906,51.2846918,14.705929
02923,51.2327935,14.8952089
02929,51.3326796,14.9654413
02943,51.4269314,14.5988026
02953,51.533076,14.6623392
02956,51.39640929999999,14.7859055
02957,51.5202232,14.7146572
02959,51.5360042,14.5290039
02977,51.424958,14.1861706
02979,51.5053795,14.2278628
02991,51.4567931,14.1008267
02994,51.373395,14.0679133
02997,51.38362240000001,14.2431905
02999,51.3941773,14.3971672
03042,51.762366,14.3586935
03044,51.7775381,14.3320238
03046,51.7561285,14.3092474
03048,51.7444378,14.3180387
03050,51.7346666,14.3373837
03051,51.71095810000001,14.3551604
03052,51.7621842,14.4172953
03053,51.8106389,14.3853465
03054,51.8181569,14.3406267
03055,51.7941895,14.3056705
03058,51.74369859999999,14.4174285
03096,51.81359459999999,14.1853973
03099,51.7498527,14.2446897
03103,51.6067476,14.1632649
03116,51.65574669999999,14.2241663
03119,51.5799724,14.172616
03130,51.5837985,14.3759135
03139,51.165691,10.451526
03149,51.7307002,14.5768168
03159,51.638182,14.5996117
03172,51.94750810000001,14.5690228
03185,51.8574378,14.4127622
03197,51.8629962,14.5093579
03202,51.165691,10.451526
03205,51.72805,13.9005015
03222,51.85667549999999,13.9048905
03226,51.78322259999999,14.0757033
03229,51.64967540000001,14.0256
03238,51.5965743,13.7428165
03246,51.70969359999999,13.7845815
03249,51.70642309999999,13.6310279
03253,51.6471716,13.4956659
04103,51.3302732,12.3891818
